City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,ribeira grande,38.5167,-28.7,16.54,91,100,6.71,PT,1675645952
85,katsuura,35.1333,140.3,9.9,67,9,2.46,JP,1675646150
86,iwaki,37.05,140.8833,11.68,42,35,1.81,JP,1675646150
87,vila velha,-20.3297,-40.2925,27.19,84,0,5.66,BR,1675645961
88,college,64.8569,-147.8028,-13.84,81,40,2.57,US,1675646150
89,exu,-7.5119,-39.7242,24.18,58,100,1.99,BR,1675646151
90,cherskiy,68.75,161.3,-38.98,99,98,2.15,RU,1675646151
91,upernavik,72.7868,-56.1549,-25.15,94,100,3.04,GL,1675646062
92,georgetown,5.4112,100.3354,25.96,89,20,0.51,MY,1675645853
93,labuhan,-6.8844,112.2051,26.43,81,100,1.58,ID,1675646152
94,arraial do cabo,-22.9661,-42.0278,24.28,91,94,3.45,BR,1675646152
95,elizabeth city,36.2946,-76.2511,10.03,94,100,0.0,US,1675646056
96,pisco,-13.7,-76.2167,24.03,83,0,5.14,PE,1675646144
97,kargopol,61.5071,38.9456,-17.17,100,99,2.28,RU,1675646152
98,geraldton,-28.7667,114.6,24.23,69,100,6.69,AU,1675646153
99,mar del plata,-38.0023,-57.5575,25.46,51,100,5.63,AR,1675646043
100,areosa,41.7178,-8.8571,9.61,64,0,2.83,PT,1675646153
101,namibe,-15.1961,12.1522,21.48,80,100,2.68,AO,1675646154
102,chokurdakh,70.6333,147.9167,-41.07,100,95,0.43,RU,1675646155
103,korla,41.7597,86.1469,-2.93,69,88,1.28,CN,1675646155
104,qaanaaq,77.484,-69.3632,-18.74,52,95,1.14,GL,1675646156
105,chuy,-33.6971,-53.4616,18.95,81,0,2.26,UY,1675645856
106,preobrazheniye,42.9019,133.9064,-3.13,55,6,1.42,RU,1675646156
107,filadelfia,39.9523,-75.1638,7.27,58,0,0.0,US,1675645943
108,zeya,53.75,127.2667,-23.52,98,100,0.87,RU,1675646156
109,caldwell,43.6629,-116.6874,9.34,40,100,5.66,US,1675646134
110,fez,34.0372,-4.9998,4.14,70,0,4.12,MA,1675646157
111,dunedin,-45.8742,170.5036,21.56,57,69,4.02,NZ,1675646157
112,surab,28.4914,66.2585,5.1,63,0,4.51,PK,1675646157
113,nemuro,43.3236,145.575,-2.79,74,100,1.71,JP,1675646049
114,ngunguru,-35.6167,174.5,20.72,85,99,4.15,NZ,1675646158
115,tasiilaq,65.6145,-37.6368,-3.91,95,100,2.03,GL,1675646016
116,cabo san lucas,22.8909,-109.9124,26.17,33,0,5.14,MX,1675645918
117,sarakhs,36.5449,61.1577,4.8,85,0,0.72,IR,1675646158
118,norman wells,65.282,-126.8329,-29.89,100,72,0.63,CA,1675646159
119,carnarvon,-24.8667,113.6333,26.87,62,0,7.38,AU,1675646159
120,sioux lookout,50.1001,-91.917,-17.71,98,97,1.47,CA,1675646159
121,lebedinyy,58.5167,125.5167,-33.0,98,100,1.51,RU,1675646160
122,bethel,41.3712,-73.414,4.93,68,0,0.0,US,1675645939
123,conde,-7.2597,-34.9075,25.47,81,11,3.7,BR,1675646160
124,nicoya,10.1483,-85.452,25.29,61,7,6.35,CR,1675646161
125,saint-philippe,-21.3585,55.7679,24.77,85,100,4.65,RE,1675646161
126,san quintin,30.4833,-115.95,15.29,81,91,10.8,MX,1675645999
127,puerto ayora,-0.7393,-90.3518,26.42,93,37,2.68,EC,1675646161
128,saint-augustin,51.226,-58.6502,-15.43,96,100,1.43,CA,1675646162
129,faanui,-16.4833,-151.75,27.73,73,8,6.61,PF,1675646065
130,thompson,55.7435,-97.8558,-14.64,96,100,2.73,CA,1675645948
131,arlit,18.7369,7.3853,21.29,15,49,3.5,NE,1675646166
